id	szemely	hely	avatas	rogzites
72	Földváry Gábor	Budapest	1908	2013.02.02
73	Petőfi Sándor	Budapest	1949	2009.05.30
74	Bedő Albert	Budapest	2016	2016.03.22
75	Láhner György	Pécs	1995	2008.02.07
76	Kossuth Lajos	Csökmő	1948	2010.04.27
77	Bartók Béla	Kápolnásnyék	2003	2012.07.12
78	Wellmann Oszkár	Kaposvár	1966	2016.05.12
79	Kozma Ferenc	Budapest	1893	2008.07.25
80	II. Rákóczi Ferenc	Háromhuta	2018	2018.10.23
81	Sárdy János	Budapest	1971	2018.02.22
82	Wass Albert	Budapest	2015	2015.09.14
83	Petőfi Sándor	Kiskunfélegyháza	1985	2009.09.23
84	Ökröss Bálint	Budapest	2017	2017.03.04
85	Déryné	Budapest	1953	2008.11.20
86	Batthyány Lajos gróf	Szeged	2007	2008.02.17
87	Erkel Ferenc	Budapest	1953	2008.11.21
88	Nagy Imre	Tatabánya	2006	2009.08.26
89	Váci Mihály	Bátonyterenye-Kisterenye	1987	2011.03.27
90	Csokonai Vitéz Mihály	Sárospatak	1972	2009.05.24
91	Weöres Sándor	Pápa	2003	2015.06.10
92	Teleki Pál gróf	Gödöllő	2001	2010.10.17
93	Szentágothai János	Budapest	2013	2015.01.14
94	Márkus Emília	Budapest	1980	2013.03.04
95	Szent István	Jánossomorja	2013	2014.12.19
96	Pfeifer Ignác	Budapest	1975	2009.01.02
97	Széchenyi István gróf	Békés	2001	2011.09.12
98	Petőfi Sándor	Recsk	2007	2018.02.20
99	Petőfi Sándor	Bugac	2013	2014.09.25
100	Táncsics Mihály	Túrkeve	1996	2010.10.01
101	Örkény István	Örkény	2012	2012.05.10
102	Hunyadi Mátyás	Doba		2018.09.07
103	Szerb Antal	Budapest	1977	2011.04.13
104	Királdi Herz Zsigmond	Tatabánya	2017	2017.12.04
105	Győrffy József	Hódmezővásárhely	1984	2011.02.01
106	Wellmann Oszkár	Budapest	1977	2009.05.14
107	Petőfi Sándor	Poroszló	2014	2017.04.20
108	Kossuth Lajos	Szentes	1898	2010.04.04
109	Kada Elek	Kecskemét	2014	2014.03.27
110	Petőfi Sándor	Kistokaj	1998	2011.03.12
111	Kitaibel Pál	Budapest	1917	2009.01.20
112	Bosco Szent János	Nyergesújfalu	2001	2010.06.03
113	Petőfi Sándor	Aszód	1972	2008.07.16
114	Kerpel Fronius Ödön	Pécs	1999	2008.01.22
115	Sulyok Dezső	Pápa	2002	2009.09.05
116	Ravasz László	Budapest	2015	2017.01.21
117	Tóth Ágoston	Marcali	1987	2008.10.16
118	IV. Béla	Muhi	2012	2014.07.10
119	Bálint Sándor	Szeged	1989	2015.06.17
120	Szent-Györgyi Albert	Szentes		2014.03.06
121	Szent László	Fűzvölgy	2014	2016.05.09
122	Magyar Ede	Szeged	2007	2008.01.16
123	Jókai Mór	Budapest	1975	2008.11.27
124	Vak Bottyán	Esztergom	1934	2018.06.24
125	Ráday Pál	Vaja	1978	2010.06.20
126	Petőfi Sándor	Somogysárd	2004	2017.08.08
127	Álmos vezér	Bükkzsérc	2016	2017.11.21
128	Petőfi Sándor	Mórahalom	2006	2013.03.14
129	Kazinczy Lajos	Sátoraljaújhely-Széphalom	1911	2008.11.28
130	Petőfi Sándor	Szeged-Kiskundorozsma	2014	2014.08.14
131	Berda József	Budapest	1992	2012.01.30
132	Deák Ferenc	Kecel		2018.11.10
133	Petőfi Sándor	Szentendre	2009	2010.01.27
134	Ivan Vazov	Kiskőrös	1985	2009.08.26
135	Szent-Györgyi Albert	Balassagyarmat	1999	2013.03.12
136	Szőnyi István	Budapest	1967	2008.12.05
137	Lázár Jakab	Sopron	1962	2010.09.13
138	Nándori Gyula	Budapest	2005	2009.08.07
139	Kossuth Lajos	Gelse	2002	2016.05.17
140	Kassai Vidor	Vác	2005	2012.03.14
141	Kaán Károly	Budapest	2017	2017.07.11
142	Decsényi János	Budapest		2015.05.28
143	Petőfi Sándor	Tiszaalpár	2009	2009.09.20
144	Móra Ferenc	Miskolc	1989	2012.10.07
145	Erdei Ferenc	Mezőtúr	1976	2014.04.21
146	Széchenyi István gróf	Marcali	1991	2009.12.16
147	Rudnay Gyula	Budapest	1951	2008.12.05
148	Nyúzó Mihály	Újfehértó	1997	2016.06.27
149	Babits Mihály	Pécs	1981	2008.01.31
150	Móra Ferenc	Szeged	1960	2012.11.05
151	Kossuth Lajos	Kiskunfélegyháza	1985	2009.09.24
152	Klebelsberg Kuno	Sopron	2013	2013.10.14
153	László Gyula	Felgyő	2000	2013.11.11
154	Flatt Viktor	Budapest	2017	2017.03.17
155	Simics Sándor	Zánka	1983	2010.11.22
156	Szabó István	Kazár	1995	2016.04.22
157	Szent István	Somogysárd		2017.08.22
158	Bem József	Balatonfüred	1992	2012.01.10
159	Petőfi Sándor	Balatongyörök	2003	2013.03.14
160	Petőfi Sándor	Békés	2018	2018.10.01
161	Jókai Mór	Szeged	1930	2008.02.12
162	Petőfi Sándor	Hajdúdorog	1948	2009.03.30
163	Gábor Áron	Nagykanizsa	1965	2014.07.23
164	Apponyi Sándor gróf	Lengyel	2001	2009.10.31
165	Szendrey Júlia	Mezőberény	1997	2009.09.27
166	Krúdy Gyula	Debrecen	1979	2008.12.16
167	Petőfi Sándor	Kács	1987	2011.11.07
168	Kiss János	Budapest	1990	2009.09.06
169	Kiss Tihamér László	Debrecen	2009	2016.06.30
170	Cziráki József	Sopron	2012	2012.09.26
171	Szabó Lőrinc	Balassagyarmat	1977	2017.10.15
172	Mikes Kelemen	Battonya	1982	2013.04.28
173	Manninger Rezső	Budapest	1990	2009.05.25
174	Halassy Olivér	Budapest	2011	2011.12.11
175	Tauffer Vilmos	Budapest		2010.09.10
176	Nagysándor József	Pécs	1993	2008.02.07
177	Sík Ferenc	Budapest	2015	2015.12.01
178	Juhász János	Fényeslitke	2014	2016.11.18
179	Zimmermann Ágoston	Mór	1985	2012.03.21
180	Ferenczy István	Budapest	1955	2008.11.21
181	Klebelsberg Kuno	Budapest	1994	2009.04.30
182	Luxemburgi Zsigmond	Ópusztaszer	2001	2010.05.15
183	Bartók Béla	Budapest	1981	2010.10.19
184	Szabó Ferenc	Gyenesdiás	2017	2018.02.12
185	Széchenyi István gróf	Kiskőrös	2011	2012.05.09
186	Jakov Ignjatović	Szentendre	1977	2010.03.03
187	Lengyel József	Marcali	2005	2008.10.16
188	Csekefalvi dr. vitéz Török Béla	Sopron	1998	2010.09.15
189	Baross Gábor	Celldömölk	2004	2012.08.26
190	Göncz Árpád	Budapest	2017	2017.10.06
191	Szent László	Halásztelek	1995	2014.02.27
192	Széchenyi István gróf	Szabadbattyán	1942	2009.07.15
193	Móra Ferenc	Dombrád	1999	2012.07.10
194	Tallián Andor	Osztopán	1998	2015.07.28
195	Griger Miklós	Bicske	1938	2014.10.14
196	Kisfaludy Károly	Budapest	1856	2009.01.23
197	Öveges József	Tata	2002	2009.12.30
198	Udvaros Dorottya	Budapest		2018.03.30
199	Mándy György	Debrecen	2013	2013.09.09
200	Thúry György	Nagykanizsa	1990	2008.02.14
201	Kossuth Lajos	Szántód	2002	2011.08.11
202	Móricz Zsigmond	Budapest	2007	2009.12.07
203	Benedek Elek	Budapest	2011	2012.03.29
204	Petőfi Sándor	Békéscsaba-Mezőmegyer	2010	2015.10.23
205	II. Rákóczi Ferenc	Fényeslitke	1986	2014.11.22
206	Wenckheim Béla	Körösladány	2000	2010.10.28
207	Kármán Tódor	Budapest	1994	2012.01.12
208	Barabás Miklós	Budapest	1905	2012.04.14
209	Korányi Frigyes	Nógrádgárdony	1973	2010.07.20
210	Katona Lajos	Budapest	1984	2009.08.07
211	Sebastian Vettel	Mogyoród	2011	2015.07.28
212	Juan Manuel Fangio	Mogyoród	2003	2015.07.27
213	Vachott Sándor	Gyöngyös	1984	2018.08.09
214	Váci Mihály	Encs	2009	2010.02.22
215	Széchenyi István gróf	Búcsúszentlászló	2002	2018.06.03
216	Wass Albert	Solymár	2005	2011.04.24
217	Görög Demeter	Hajdúdorog	1986	2009.03.30
218	Tankó Béla	Debrecen	2005	2009.01.26
219	Veres Péter	Vésztő-Mágor	1987	2011.10.19
220	Gárdonyi Géza	Szeged	1960	2012.01.26
221	Kodály Zoltán	Lakitelek	2006	2010.06.29
222	Szalvay Mihály	Salgótarján	1971	2010.07.18
223	Laborfalvi Benke József	Miskolc	1959	2010.10.09
224	Szent István	Budapest	1988	2017.03.28
225	Széchenyi István gróf	Mátészalka	1995	2010.07.08
226	Eötvös József báró	Szeged	1934	2011.06.18
227	Arany János	Kisújszállás	2000	2013.10.30
228	Bogsch Árpád	Budapest	2014	2017.04.17
229	Karikó János	Biatorbágy	2010	2011.01.14
230	Kállai Ferenc	Budapest	2013	2015.11.27
231	Petőfi Sándor	Vésztő	1989	2012.08.31
232	Buzánszky Jenő	Felcsút	2014	2015.01.10
233	Gregus Máté	Hódmezővásárhely	1998	2018.02.04
234	Görgey István	Budapest	2017	2017.03.12
235	Hajdú László	Budapest		2017.12.14
236	Berzsenyi Dániel	Kemenessömjén	1991	2013.04.07
237	Leiningen-Westerburg Károly	Pécs	1993	2008.02.07
238	Zsigmondy Béla	Szeged	2009	2009.09.19
239	Petőfi Sándor	Pacsa	1988	2014.03.07
240	Jáky József	Székesfehérvár	1955	2014.04.14
241	Berg Gusztáv báró	Kapuvár	2016	2017.01.03
242	Zrínyi Ilona	Szeged	1970	2014.01.06
243	Sántha Kálmán	Miskolc	1989	2009.10.15
244	Hevesy György	Eger	1999	2011.09.11
245	Árpád-házi Szent Margit	Veszprém	2017	2017.06.12
246	Tari Gábor	Szentes	2001	2010.03.23
247	Bihari János	Budapest	1928	2008.11.24
248	Kiss Ernő	Veresegyház	2017	2017.10.06
249	Oltványi Pál	Földeák	2012	2017.07.19
250	Marczell György	Budapest	1956	2010.03.27
251	Báthory Gábor	Nyírbátor	2008	2008.11.06
252	Perczel Mór	Bonyhád	1979	2008.05.12
253	Kandó Kálmán	Székesfehérvár	1983	2011.08.03
254	Szojka Ferenc	Salgótarján	2011	2013.04.15
255	Bolyai János	Salgótarján	1952	2011.06.17
256	Kálvin János	Mezőcsát	2010	2015.12.27
257	Kitaibel Pál	Keszthely	1965	2008.07.12
258	Szűts József	Kiskunhalas	1984	2010.02.17
259	Hüttl Tivadar	Debrecen	2013	2013.06.17
260	Munkácsy Mihály	Békéscsaba	1959	2009.11.29
261	Pulitzer József	Makó	1997	2009.11.25
262	Eötvös József báró	Heves	1996	2010.06.11
263	Gyurkovics Tibor	Mosonmagyaróvár	2013	2013.05.18
264	Gábor Áron	Budapest	1984	2009.08.06
265	Baich Mihály	Szeleste	2014	2017.05.14
266	Juhász Gyula	Szeged	1977	2015.11.23
267	Jászai Mari	Budapest	1900	2009.10.04
268	Liposits Elemér	Keszthely	2014	2018.11.19
269	Szent István	Kóka	2000	2013.07.22
270	Wosinsky Mór	Tolna	2004	2008.06.10
271	Klebelsberg Kuno	Ásotthalom	2012	2015.03.03
272	Vásárhelyi Pál	Szarvas	1972	2010.11.16
273	IV. Károly	Budapest	2016	2016.11.30
274	Vedres István	Szarvas	1969	2010.11.16
275	Pesthy Frigyes	Szeged	2009	2009.12.07
276	Petőfi Sándor	Apátfalva	1954	2014.11.26
277	Illés Nándor	Sopron	1969	2010.09.13
278	Kazinczy Ferenc	Győr	1971	2011.05.31
279	A. Tóth Sándor	Pápa	1998	2009.09.07
280	Szent István	Szombathely	2018	2018.09.08
281	Zamenhof	Budapest	1999	2008.06.12
282	Groffits Gábor	Mosonmagyaróvár	2017	2017.05.31
283	Kinizsi Pál	Nagyvázsony	2014	2016.08.03
284	Elie Wiesel	Budapest	2006	2014.04.19
285	Rodolfo	Budapest	2011	2011.07.15
286	Irinyi Bertalan	Fényeslitke	2001	2014.11.22
287	Lenin	Szolnok	1967	2018.10.12
288	Baktay Ervin	Dunaharaszti	2006	2011.07.13
289	Déri Frigyes	Debrecen	1923	2010.05.10
290	Szent István	Kunszállás	2000	2012.12.03
291	Otto Klemperer	Budapest	1984	2010.10.16
292	Kossuth Lajos	Bicsérd	1994	2011.10.20
293	Kossuth Lajos	Balatongyörök	1994	2013.03.15
294	Tompa Mihály	Kelemér	1988	2011.06.12
295	Schweidel József	Pécs	1996	2008.02.07
296	Öveges Kálmán	Győr	2004	2016.07.22
297	Kálvin János	Szentes	1927	2015.10.20
298	Kozma Ferenc	Baracska	1993	2016.06.10
299	Garbai Sándor	Kiskunhalas	1987	2007.08.03
300	Tadeusz Nowak	Kiskőrös	1998	2010.10.11
301	Hegedűs László	Szolnok	1913	2012.10.07
302	Arányi Lajos	Budapest	2003	2012.10.19
303	Szent István	Báránd	2001	2012.06.28
304	Árpád fejedelem	Zalakaros	1996	2008.05.21
305	Petőfi Sándor	Rácalmás	2013	2014.10.21
306	Szittya Károly	Budapest	1999	2012.07.18
307	Petőfi Sándor	Püspökladány	1996	2012.09.24
308	Kenézy Gyula	Debrecen	1925	2014.09.06
309	Pothornik József	Salgótarján	1986	2010.07.16
310	Sébor János	Sopron	1965	2015.07.15
311	Radnai Miklós	Budapest		2015.12.04
312	Zsóry Lajos	Mezőkövesd	1997	2010.04.27
313	Kalamár József	Budapest	1957	2009.05.30
314	Kossuth Lajos	Szerencs	2008	2010.03.13
315	Jókai Mór	Békéscsaba	1993	2008.11.21
316	Lotz Károly	Szeged	1930	2010.06.16
317	Móricz Zsigmond	Hódmezővásárhely	1961	2013.04.03
318	Árpád fejedelem	Pilisvörösvár	2014	2015.08.28
319	Krompecher István	Debrecen	2006	2009.01.29
320	Barcsa János	Hajdúnánás	2001	2012.12.16
321	Pais Dezső	Zalaegerszeg	1985	2013.03.21
322	Perczel Mór	Bonyhád	1961	2017.05.29
323	Fleischmann Rudolf	Gyöngyös		2012.06.24
324	Madách Imre	Budapest	1966	2011.04.03
325	Széchenyi István gróf	Szentes	1997	2009.11.27
326	Váci Mihály	Nagykáta	1989	2017.12.09
327	Varga Béla	Börcs	2006	2017.03.25
328	Tessedik Sámuel	Budapest	1971	2009.04.01
329	Petőfi Sándor	Halásztelek	2012	2014.03.01
330	Lovassy Sándor	Keszthely	1994	2013.11.06
331	Laszberg Rudolf gróf	Győr	1913	2012.09.12
332	Széchenyi István gróf	Nyíradony-Tamásipuszta	2000	2011.04.11
333	Szent István	Bugac	2000	2010.08.27
334	Madaras József	Budapest	2016	2016.10.15
335	Jókai Mór	Budapest	1906	2009.03.29
336	Szent-Györgyi Albert	Szeged	2010	2018.07.05
337	Hunyadi Mátyás	Vecsés	2017	2017.09.20
338	I. András	Zirc	2005	2010.04.14
339	Trummer Árpád	Szarvas	1971	2011.05.19
340	Samassa József	Nyíregyháza	2002	2010.05.05
341	Kossuth Lajos	Tibolddaróc	1988	2010.05.10
342	Kölcsey Ferenc	Álmosd	1975	2012.04.12
343	Botfai Hűvös Lászlóné	Budapest		2016.03.31
344	Marek József	Budapest	1953	2009.05.14
345	Kerkápoly István	Balatonudvari	2017	2017.09.11
346	Wenckheim József	Körösladány	2000	2010.11.02
347	Béres Ferenc	Sárospatak	1974	2009.05.24
348	Martin Luther King	Debrecen	1978	2014.08.06
349	Kiss Áron	Porcsalma	1995	2013.06.04
350	Avram Hershko	Eger	2005	2011.09.15
351	Puskás Ferenc	Budapest	2008	2014.01.16
352	Varga József	Budapest	1966	2011.11.10
353	Ács Károly	Ráckeve		2012.11.14
354	Móricz Zsigmond	Tiszakécske	1985	2010.06.28
355	Lenkey János	Eger	2017	2018.01.09
356	Rákosi Szidi	Budapest	1909	2012.12.27
357	Pálfy János	Szolnok	1981	2011.12.02
358	Szabó György	Makó	2003	2014.11.03
359	Nikola Tesla	Budapest	2002	2014.09.08
360	Fadlallah el Hedad Mihály	Bábolna	1985	2011.04.25
361	Gáyer Gyula	Szombathely	1934	2011.07.05
362	László Antal	Veszprém	2003	2011.09.01
363	Tormay Cécile	Budapest	2012	2012.03.31
364	Baka József	Kaposvár	2005	2016.04.22
365	Mathiász János	Lakitelek	2011	2012.02.26
366	Gyulai Pál	Budapest	1897	2017.05.31
367	Szőnyi István	Zebegény	1969	2014.04.19
368	Tóth Árpád	Debrecen	1962	2010.04.11
369	Németh Pál	Szombathely	2017	2018.08.23
370	Táncsics Mihály	Ácsteszér	1974	2016.10.31
371	Andorka Rudolf	Budapest	2010	2013.06.13
372	Mikszáth Kálmán	Erdőtelek	2004	2012.05.30
373	Leiningen-Westerburg Károly	Veresegyház	2012	2012.10.07
374	Wass Albert	Szilsárkány	2011	2013.03.28
375	Weis István	Budapest	2013	2015.09.22
376	Wass Albert	Balatonalmádi	2008	2009.05.18
377	Kandó Kálmán	Budapest	1968	2009.04.07
378	Simándy József	Budapest	1974	2014.02.16
379	Gyarmati Sándor	Gyula	2014	2018.08.14
380	Deák Ferenc	Paks	2003	2008.06.01
381	Margó Ede	Zamárdi	2017	2017.07.13
382	Antall József id.	Oroszi	2003	2016.10.23
383	Keleti Károly	Budapest	2008	2014.04.15
384	Kossuth Lajos	Pécsvárad	1911	2011.11.01
385	Juhász Gyula	Makó	1980	2016.02.22
386	Péch Antal	Miskolc-Egyetemváros	1914	2014.12.04
387	Konfuciusz	Budapest	2017	2018.01.28
388	Kerkai Jenő	Csesztreg	1985	2010.04.27
389	Kántorné Engelhardt Anna	Budapest	1931	2012.09.06
390	Debreczenyi Gyula	Badacsonytördemic	2007	2016.05.24
391	Erkel Ferenc	Gödöllő	1986	2011.02.19
392	Benka Gyula	Szarvas	1928	2013.05.14
393	Buttler János	Budapest	1903	2011.07.28
394	Illyés Géza	Budapest		2016.01.23
395	Kada Elek	Kecskemét-Kadafalva	2013	2014.04.23
396	Varga Magda	Debrecen	2009	2015.03.06
397	Szentágothai János	Budapest	2013	2013.05.28
398	Kazinczy Ferencné gróf Török Sophie	Sátoraljaújhely-Széphalom	2008	2010.10.14
399	Rózsavölgyi Márk	Balassagyarmat	1967	2010.04.13
400	Erzsébet királyné	Zalakaros	2003	2013.08.23
401	John Wesley	Budapest	2000	2013.05.12
402	Szent-Györgyi Albert	Szekszárd	1993	2008.04.28
403	Liszt Ferenc	Szekszárd	1996	2008.04.28
404	Szent István	Szigetvár	2018	2018.09.30
405	Kelemen Endre	Szekszárd	2002	2008.04.28
406	Kotlán Sándor	Budapest	1987	2009.05.22
407	Kavulák János	Berzence	2013	2017.10.06
408	Orth György	Budapest	1978	2017.11.23
409	Markovits Iván	Szeged	1912	2008.01.27
410	Papp László	Budapest	2008	2013.01.18
411	Korányi Frigyes id.	Budapest	1927	2009.05.02
412	Szoboszlai Pap István	Újfehértó	2000	2016.10.06
413	Csik Ferenc	Dömös	1936	2012.09.03
414	II. Rákóczi Ferenc	Sátoraljaújhely	2011	2012.03.27
415	Szent István	Jászszentandrás	2011	2012.02.15
416	Fornet Béla	Debrecen	2013	2013.02.06
417	Toldy Ferenc	Szeged	1930	2010.06.04
418	Korányi Frigyes	Budapest	1985	2008.11.29
419	Remsey Jenő	Gödöllő	2017	2018.06.02
420	Petőfi Sándor	Sződliget	1948	2010.08.06
421	Bárány Róbert	Eger	1997	2011.09.09
422	Kazinczy Ferenc	Göncruszka	1998	2010.08.25
423	Szodoray Lajos	Debrecen	2011	2011.05.17
424	Virágh Gedeon	Kunszentmiklós	2006	2009.07.29
425	Markusovszky Lajos	Budapest	1983	2008.12.01
426	Gulden Gyula	Herend	2006	2014.11.04
427	Kocsis Sándor	Felcsút	2014	2015.03.06
428	Kossuth Lajos	Nyárád	2002	2013.04.02
429	Móra Ferenc	Szeged	1948	2012.01.31
430	Xántus János	Budapest	2000	2008.08.05
431	Vécsey Károly	Nagykanizsa	2000	2016.01.27
432	Petrich Géza	Miskolc-Egyetemváros	2013	2014.09.07
433	Samu Géza	Kocsola		2017.08.02
434	Comenius	Sárospatak	1970	2009.06.01
435	Erzsébet királyné	Kiskunhalas	1902	2010.02.15
436	Bartók Béla	Orosháza	1956	2018.10.24
437	Petőfi Sándor	Hatvan	1983	2013.01.05
438	Görgey Artúr	Visegrád	2018	2018.03.13
439	Bocskai István	Biharkeresztes	1990	2009.05.04
440	Beck Ö. Fülöp	Budapest	1973	2008.11.19
441	Móricz Zsigmond	Szikszó	1961	2014.07.23
442	Gundel János	Budapest	1908	2013.02.09
443	Széchenyi István gróf	Ópusztaszer	2001	2016.10.29
444	Széchenyi Zsigmond gróf	Hatvan	2014	2014.06.03
445	Móricz Zsigmond	Debrecen	1927	2017.02.01
446	Puskin	Gyöngyös	2008	2010.11.11
447	Tóth Ede	Sárospatak	1972	2009.05.24
448	Egressy Béni	Kazincbarcika	1974	2009.09.03
449	Kossuth Lajos	Gyöngyöspata		2017.10.30
450	Liviu Rebreanu	Gyula	1993	2014.12.05
451	Tornyai János	Hódmezővásárhely	1956	2012.09.26
452	Kugler Sándorné	Nagykanizsa	2017	2017.02.23
453	Petőfi Sándor	Mezőkomárom	1985	2009.12.14
454	Szvetnik Joachim	Mélykút	2002	2010.09.27
455	Radnóti Miklós	Jánoshalma	1974	2010.12.02
456	Muttnyánszky Ádám	Budapest	1989	2009.01.15
457	Wallaszky Pál	Tótkomlós	1996	2010.03.20
458	Lantos Mihály	Felcsút	2014	2015.03.10
459	Michael Schumacher	Mogyoród	2009	2014.01.29
460	Kossuth Lajos	Tápiószele	2010	2010.09.21
461	Széchenyi István gróf	Szeged	1983	2008.02.20
462	Szondi György	Balassagyarmat	1990	2014.05.11
463	Kossuth Lajos	Tószeg	1899	2016.09.08
464	Tolnay Sándor	Budapest	1992	2008.07.26
465	Antall József	Paloznak	2004	2012.11.13
466	Téri Árpád	Debrecen	1990	2008.12.05
467	Kossuth Lajos	Békés	2006	2011.09.11
468	Puskás Tivadar	Tatabánya	1964	2009.11.19
469	Morelli Gusztáv	Budapest		2014.09.05
470	Wathay Ferenc	Csesznek	2001	2011.06.30
471	Petőfi Sándor	Szentes		2014.03.26
472	Felekyné Munkácsy Flóra	Budapest	1893	2009.11.08
473	Vaszy Viktor	Szeged	2004	2010.05.19
474	Michelberger Pál	Kecskemét	2014	2014.10.18
475	Keresztury Dezső	Nemesgulács	2007	2017.01.02
476	Kövér Béla	Szeged	1996	2015.02.09
477	Pető Ferenc	Szeged	2012	2012.05.27
478	Bánki Donát	Budapest	2009	2014.09.20
479	Kilián György	Szolnok	1965	2012.01.17
480	Gandhi	Budapest	1971	2015.10.09
481	Kiss Ernő	Pécs	1995	2008.02.06
482	Szent László	Kisvárda	2003	2011.05.07
483	II. Rákóczi Ferenc	Rákóczifalva	1979	2016.05.31
484	Szentpétery Zsigmond	Budapest	1877	2011.02.10
485	Ormos Imre	Budapest	2003	2009.02.16
486	Kováts József	Szeged	1996	2008.02.10
487	Tokaji Ferenc	Tokaj	1977	2010.01.23
488	Bókay János id.	Budapest	1902	2009.01.20
489	Erkel Ferenc	Szeged	1964	2015.06.11
490	Gál István	Tatabánya	2006	2009.09.18
491	Klucsjár Mihály	Szarvas	1982	2016.07.28
492	Szent László	Mórahalom	2007	2009.12.08
493	Mihalik Dániel	Szolnok	1913	2012.09.09
494	Széchenyi István gróf	Budapest		2014.07.03
495	Lenkey János	Eger	2017	2018.01.09
496	Bereczki Máté	Kunágota	1966	2018.12.18
497	Hajós Alfréd	Budapest	1955	2008.12.27
498	Bartók Lajos	Budapest	1910	2017.11.20
499	Kiss Lajos	Hódmezővásárhely	1968	2010.02.16
500	Ady Endre	Budapest	2007	2012.11.21
501	Markos György	Budapest	2003	2012.10.12
502	Káldy József	Sopron	2005	2010.09.05
503	Arany János	Sükösd	2009	2010.11.15
504	Vén Emil	Gyula	1987	2016.12.22
505	Petőfi Sándor	Dorog	1948	2016.08.01
506	Vadas Jenő	Sopron	1930	2015.07.15
507	Szinyei Merse Pál	Szeged	1930	2010.06.13
508	Bánffy Miklós gróf	Budapest	1920	2013.05.12
509	Blaha Lujza	Budapest	1940	2012.02.29
